"Statistics name :","2023 Housing and Land Survey Basic Tabulation on Dwellings and Households Japan, Prefecture, Shi, Ku, Machi and Mura"
"Table Number :","1-1-1"
"Title :","[Dwellings and Households] Dwellings by Occupancy Status (9 Groups) - Japan, Prefecture and 21 Major Cities"
"Implementation date :","2023","Oct."
"Cities, Towns and Villages :","-"

"***","The one that figure is not obtained"
"-","   "
"...","   "
"X"," "

"","","","","","","","","","/Occupancy status Code","0","1","11","12","2","21","22","221","222","223","224","2241","2242","23"
"","","","","","","","","","/Occupancy status Auxiliary Code","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tabulated variable Code","Tabulated variable Auxiliary Code","Tabulated variable","Time Code","Time Auxiliary Code","Time","Japan, Prefectures, 21 Major Cities Code","Japan, Prefectures, 21 Major Cities Auxiliary Code","Japan, Prefectures, 21 Major Cities","/Occupancy status","Total","Occupied","Without shared households","With shared households","Unoccupied","Temporary occupants only","Vacant","Vacant,excluding for rent, for sale and as second dwellings","For rent","For sale","As second dwellings","Villas","Others (as second dwellings)","Under construction"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","00000","","Japan","","65,046,700","55,665,000","55,327,600","337,400","9,381,700","285,500","9,001,600","3,856,000","4,435,800","326,200","383,500","258,500","125,000","94,700"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","01000","","Hokkaido","","2,888,500","2,423,200","2,404,500","18,800","465,300","10,000","451,900","163,000","258,700","19,600","10,700","5,300","5,400","3,300"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","01100","","Sapporo-shi","","1,128,200","967,400","960,700","6,800","160,700","3,700","155,800","31,800","111,600","10,900","1,500","400","1,100","1,300"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","02000","","Aomori-ken","","590,300","488,700","484,800","3,900","101,600","1,900","98,800","55,000","39,900","2,200","1,700","900","900","900"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","03000","","Iwate-ken","","579,400","476,700","473,900","2,700","102,800","1,700","100,400","54,100","41,100","2,000","3,200","2,200","1,100","600"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","04000","","Miyagi-ken","","1,129,200","983,900","978,300","5,600","145,300","3,300","140,300","52,000","80,200","6,500","1,600","500","1,100","1,700"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","04100","","Sendai-shi","","604,700","534,100","531,200","2,900","70,600","2,100","67,600","15,800","47,200","4,000","500","200","400","1,000"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","05000","","Akita-ken","","440,600","369,400","367,700","1,700","71,200","1,100","69,500","43,900","23,600","1,000","1,000","400","600","600"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","06000","","Yamagata-ken","","455,400","391,500","389,800","1,600","63,900","1,600","61,700","35,900","22,200","1,900","1,600","600","1,000","600"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","07000","","Fukushima-ken","","862,900","726,800","722,800","4,000","136,100","3,900","131,000","62,600","60,800","3,900","3,700","1,100","2,600","1,200"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","08000","","Ibaraki-ken","","1,390,900","1,187,400","1,179,800","7,600","203,500","3,900","196,200","93,200","90,700","5,400","6,800","4,100","2,800","3,400"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","09000","","Tochigi-ken","","971,000","802,200","797,600","4,500","168,800","3,900","163,700","64,300","76,700","3,800","18,900","14,800","4,100","1,200"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","10000","","Gunma-ken","","967,400","801,900","796,900","5,000","165,500","3,000","161,300","73,100","68,500","3,700","16,000","14,200","1,800","1,200"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","11000","","Saitama-ken","","3,555,100","3,205,000","3,185,400","19,600","350,100","11,900","330,400","135,800","166,800","21,400","6,300","1,700","4,600","7,700"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","11100","","Saitama-shi","","656,300","594,400","590,600","3,800","61,800","2,100","56,500","20,100","31,400","4,200","700","100","600","3,200"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","12000","","Chiba-ken","","3,191,100","2,782,300","2,765,000","17,300","408,800","9,900","394,100","158,500","196,400","17,200","21,900","16,500","5,400","4,800"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","12100","","Chiba-shi","","510,700","456,500","453,900","2,500","54,200","1,000","52,700","13,700","33,800","4,700","400","100","300","600"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","13000","","Tokyo-to","","8,201,400","7,235,400","7,192,900","42,500","966,000","57,300","896,500","214,200","629,000","43,800","9,600","1,800","7,800","12,300"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","13100","","Ku-area","","5,922,100","5,220,100","5,189,400","30,700","702,000","46,300","646,800","150,900","458,200","32,000","5,700","1,200","4,500","8,900"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","14000","","Kanagawa-ken","","4,765,000","4,271,500","4,245,300","26,100","493,600","20,600","467,100","151,000","279,000","21,800","15,300","10,300","5,000","5,900"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","14100","","Yokohama-shi","","1,942,700","1,764,700","1,753,300","11,500","178,000","7,900","168,600","51,500","105,700","10,000","1,300","100","1,200","1,600"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","14130","","Kawasaki-shi","","836,900","757,600","752,900","4,700","79,300","3,000","75,100","20,100","51,000","3,400","500","100","500","1,200"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","14150","","Sagamihara-shi","","369,300","338,400","336,600","1,800","31,000","700","30,200","11,800","16,900","1,100","400","200","300","100"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","15000","","Niigata-ken","","1,015,200","851,600","846,900","4,600","163,700","6,900","155,300","77,500","54,500","4,000","19,400","16,900","2,400","1,400"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","15100","","Niigata-shi","","381,800","330,100","328,100","2,000","51,700","1,000","50,100","21,900","25,900","1,600","700","200","500","600"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","16000","","Toyama-ken","","473,900","401,900","400,100","1,800","71,900","1,600","69,700","39,800","26,300","2,300","1,200","300","900","700"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","17000","","Ishikawa-ken","","554,000","464,300","462,100","2,100","89,700","2,100","86,400","40,700","40,500","2,100","3,100","1,500","1,600","1,100"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","18000","","Fukui-ken","","341,400","286,700","285,300","1,400","54,700","800","53,100","28,900","20,400","2,400","1,400","600","800","800"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","19000","","Yamanashi-ken","","427,000","336,800","334,700","2,100","90,200","2,300","87,200","37,200","31,000","1,900","17,100","15,700","1,400","700"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","20000","","Nagano-ken","","1,039,600","824,700","819,200","5,500","214,900","4,900","208,500","92,300","57,100","2,900","56,000","52,100","3,900","1,600"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","21000","","Gifu-ken","","924,100","769,800","764,800","5,000","154,200","4,000","148,400","74,400","61,700","4,000","8,400","6,200","2,300","1,800"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","22000","","Shizuoka-ken","","1,774,100","1,468,400","1,457,500","10,900","305,700","7,300","296,300","104,800","144,400","8,400","38,500","34,200","4,400","2,100"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","22100","","Shizuoka-shi","","346,100","292,100","289,700","2,400","54,100","1,100","52,700","17,500","32,900","1,600","800","500","300","300"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","22130","","Hamamatsu-shi","","371,400","322,500","320,400","2,000","49,000","1,100","47,400","17,700","26,100","1,200","2,300","1,700","600","500"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","23000","","Aichi-ken","","3,664,700","3,211,300","3,192,900","18,400","453,500","13,300","433,000","156,000","251,800","18,300","6,800","2,100","4,700","7,200"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","23100","","Nagoya-shi","","1,310,600","1,128,700","1,123,100","5,600","181,900","7,300","173,000","44,600","118,100","8,400","1,900","100","1,800","1,600"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","24000","","Mie-ken","","873,500","727,300","723,100","4,200","146,200","2,200","142,700","83,100","50,800","3,300","5,500","3,300","2,200","1,300"
